n;empresa;score;url_contacto;mensaje;demo_url;slug;lead_id;email;web
"136";"Arq & Reformas";"9";"http://www.tusreformas.com/";"";"https://presupuestos.nico-soto.es/demo/arq-reformas";"arq-reformas";"5fd789f9-cb54-4c03-9af8-fe890c1b4b0f";"info@tusreformas.com";"http://www.tusreformas.com/"
"137";"Infoconstrureform";"9";"https://www.infoconstrureform.com/";"";"https://presupuestos.nico-soto.es/demo/infoconstrureform";"infoconstrureform";"7e70b521-6665-4ffe-a2b8-24e2339d277f";"info@infoconstrureform.com";"https://www.infoconstrureform.com/"
"138";"Construcciones Arana";"9";"https://www.construccionesarana.es/";"";"https://presupuestos.nico-soto.es/demo/construcciones-arana";"construcciones-arana";"1401bdb4-5c0f-4dcc-86ba-a2cc8b076b69";"info@construccionesarana.es";"https://www.construccionesarana.es/"
"139";"Alejo Construction & Design";"9";"http://tureformaenmadrid.es/";"";"https://presupuestos.nico-soto.es/demo/alejo-reformas";"alejo-reformas";"a460adce-d338-4c12-80d5-77fe7e0c3888";"info@tureformaenmadrid.es";"http://tureformaenmadrid.es/"
"140";"Exclusivas Joma";"8.5";"http://www.exclusivasjoma.es/";"";"https://presupuestos.nico-soto.es/demo/exclusivas-joma";"exclusivas-joma";"92d5945f-2431-404f-be31-6950101d284c";"exclusivasjoma@gmail.com";"http://www.exclusivasjoma.es/"
"141";"Acantarero";"8.5";"http://www.acantareroconstrucciones.com/";"";"https://presupuestos.nico-soto.es/demo/acantarero";"acantarero";"141c6ca5-59be-4bda-83fc-59fc441f6e39";"info@acantareroconstrucciones.com";"http://www.acantareroconstrucciones.com/"
"142";"Emona Reformas";"8.5";"http://www.reformasemona.com/";"";"https://presupuestos.nico-soto.es/demo/emona-reformas";"emona-reformas";"2df90125-4aca-4f83-b2ce-9d129733bf7a";"info@reformasemona.com";"http://www.reformasemona.com/"
"143";"Reformas Ideas";"8.5";"http://www.reformasideas.com/";"";"https://presupuestos.nico-soto.es/demo/reformas-ideas";"reformas-ideas";"1bb40b25-fded-4e61-a279-1333dd01506c";"pinturasytarimasideas@gmail.com";"http://www.reformasideas.com/"
"144";"Faner Reformas";"8.5";"http://www.faner.es/";"";"https://presupuestos.nico-soto.es/demo/faner-reformas";"faner-reformas";"887705c5-69ad-4b66-80f0-eb2c9b2e8201";"faner@faner.es";"http://www.faner.es/"
"145";"Área Reformas";"8.5";"https://www.areareformas.com/";"";"https://presupuestos.nico-soto.es/demo/area-reformas";"area-reformas";"4823f5b1-4c03-4470-a190-02695325d84f";"info@areareformas.com";"https://www.areareformas.com/"
